category,pokemon_name,count,description
OVERLAPPING,infernape,1.0,Has both stats and images
OVERLAPPING,inkay,1.0,Has both stats and images
OVERLAPPING,ivysaur,1.0,Has both stats and images
OVERLAPPING,jellicent,1.0,Has both stats and images
OVERLAPPING,jigglypuff,1.0,Has both stats and images
OVERLAPPING,jirachi,1.0,Has both stats and images
OVERLAPPING,jolteon,1.0,Has both stats and images
OVERLAPPING,joltik,1.0,Has both stats and images
OVERLAPPING,jumpluff,1.0,Has both stats and images
OVERLAPPING,jynx,1.0,Has both stats and images
OVERLAPPING,kabuto,1.0,Has both stats and images
OVERLAPPING,kabutops,1.0,Has both stats and images
OVERLAPPING,kadabra,1.0,Has both stats and images
OVERLAPPING,kakuna,1.0,Has both stats and images
OVERLAPPING,kangaskhan,1.0,Has both stats and images
OVERLAPPING,karrablast,1.0,Has both stats and images
OVERLAPPING,kecleon,1.0,Has both stats and images
OVERLAPPING,keldeo,1.0,Has both stats and images
OVERLAPPING,kingdra,1.0,Has both stats and images
OVERLAPPING,kingler,1.0,Has both stats and images
OVERLAPPING,kirlia,1.0,Has both stats and images
OVERLAPPING,klang,1.0,Has both stats and images
OVERLAPPING,klefki,1.0,Has both stats and images
OVERLAPPING,klink,1.0,Has both stats and images
OVERLAPPING,klinklang,1.0,Has both stats and images
OVERLAPPING,koffing,1.0,Has both stats and images
OVERLAPPING,komala,1.0,Has both stats and images
OVERLAPPING,krabby,1.0,Has both stats and images
OVERLAPPING,kricketot,1.0,Has both stats and images
OVERLAPPING,kricketune,1.0,Has both stats and images
OVERLAPPING,krokorok,1.0,Has both stats and images
OVERLAPPING,krookodile,1.0,Has both stats and images
OVERLAPPING,kyogre,1.0,Has both stats and images
OVERLAPPING,kyurem,1.0,Has both stats and images
OVERLAPPING,lairon,1.0,Has both stats and images
OVERLAPPING,lampent,1.0,Has both stats and images
OVERLAPPING,landorus,1.0,Has both stats and images
OVERLAPPING,lanturn,1.0,Has both stats and images
OVERLAPPING,lapras,1.0,Has both stats and images
OVERLAPPING,larvesta,1.0,Has both stats and images
OVERLAPPING,larvitar,1.0,Has both stats and images
OVERLAPPING,latias,1.0,Has both stats and images
OVERLAPPING,latios,1.0,Has both stats and images
OVERLAPPING,leafeon,1.0,Has both stats and images
OVERLAPPING,leavanny,1.0,Has both stats and images
OVERLAPPING,ledian,1.0,Has both stats and images
OVERLAPPING,ledyba,1.0,Has both stats and images
OVERLAPPING,lickilicky,1.0,Has both stats and images
OVERLAPPING,lickitung,1.0,Has both stats and images
OVERLAPPING,liepard,1.0,Has both stats and images
OVERLAPPING,lileep,1.0,Has both stats and images
OVERLAPPING,lilligant,1.0,Has both stats and images
OVERLAPPING,lillipup,1.0,Has both stats and images
OVERLAPPING,linoone,1.0,Has both stats and images
OVERLAPPING,litleo,1.0,Has both stats and images
OVERLAPPING,litten,1.0,Has both stats and images
OVERLAPPING,litwick,1.0,Has both stats and images
OVERLAPPING,lombre,1.0,Has both stats and images
OVERLAPPING,lopunny,1.0,Has both stats and images
OVERLAPPING,lotad,1.0,Has both stats and images
OVERLAPPING,loudred,1.0,Has both stats and images
OVERLAPPING,lucario,1.0,Has both stats and images
OVERLAPPING,ludicolo,1.0,Has both stats and images
OVERLAPPING,lugia,1.0,Has both stats and images
OVERLAPPING,lumineon,1.0,Has both stats and images
OVERLAPPING,lunala,1.0,Has both stats and images
OVERLAPPING,lunatone,1.0,Has both stats and images
OVERLAPPING,lurantis,1.0,Has both stats and images
OVERLAPPING,luvdisc,1.0,Has both stats and images
OVERLAPPING,luxio,1.0,Has both stats and images
OVERLAPPING,luxray,1.0,Has both stats and images
OVERLAPPING,lycanroc,1.0,Has both stats and images
OVERLAPPING,machamp,1.0,Has both stats and images
OVERLAPPING,machoke,1.0,Has both stats and images
OVERLAPPING,machop,1.0,Has both stats and images
OVERLAPPING,magby,1.0,Has both stats and images
OVERLAPPING,magcargo,1.0,Has both stats and images
OVERLAPPING,magearna,1.0,Has both stats and images
OVERLAPPING,magikarp,1.0,Has both stats and images
OVERLAPPING,magmar,1.0,Has both stats and images
OVERLAPPING,magmortar,1.0,Has both stats and images
OVERLAPPING,magnemite,1.0,Has both stats and images
OVERLAPPING,magneton,1.0,Has both stats and images
OVERLAPPING,magnezone,1.0,Has both stats and images
OVERLAPPING,makuhita,1.0,Has both stats and images
OVERLAPPING,malamar,1.0,Has both stats and images
OVERLAPPING,mamoswine,1.0,Has both stats and images
OVERLAPPING,manaphy,1.0,Has both stats and images
OVERLAPPING,mandibuzz,1.0,Has both stats and images
OVERLAPPING,manectric,1.0,Has both stats and images
OVERLAPPING,mankey,1.0,Has both stats and images
OVERLAPPING,mantine,1.0,Has both stats and images
OVERLAPPING,mantyke,1.0,Has both stats and images
OVERLAPPING,maractus,1.0,Has both stats and images
OVERLAPPING,mareanie,1.0,Has both stats and images
OVERLAPPING,mareep,1.0,Has both stats and images
OVERLAPPING,marill,1.0,Has both stats and images
OVERLAPPING,marowak,1.0,Has both stats and images
OVERLAPPING,marshtomp,1.0,Has both stats and images
OVERLAPPING,masquerain,1.0,Has both stats and images
OVERLAPPING,mawile,1.0,Has both stats and images
OVERLAPPING,medicham,1.0,Has both stats and images
OVERLAPPING,meditite,1.0,Has both stats and images
OVERLAPPING,meganium,1.0,Has both stats and images
OVERLAPPING,meloetta,1.0,Has both stats and images
OVERLAPPING,meowstic,1.0,Has both stats and images
OVERLAPPING,meowth,1.0,Has both stats and images
OVERLAPPING,mesprit,1.0,Has both stats and images
OVERLAPPING,metagross,1.0,Has both stats and images
OVERLAPPING,metang,1.0,Has both stats and images
OVERLAPPING,metapod,1.0,Has both stats and images
OVERLAPPING,mew,1.0,Has both stats and images
OVERLAPPING,mewtwo,1.0,Has both stats and images
OVERLAPPING,mienfoo,1.0,Has both stats and images
OVERLAPPING,mienshao,1.0,Has both stats and images
OVERLAPPING,mightyena,1.0,Has both stats and images
OVERLAPPING,milotic,1.0,Has both stats and images
OVERLAPPING,miltank,1.0,Has both stats and images
OVERLAPPING,mimikyu,1.0,Has both stats and images
OVERLAPPING,minccino,1.0,Has both stats and images
OVERLAPPING,minior,1.0,Has both stats and images
OVERLAPPING,minun,1.0,Has both stats and images
OVERLAPPING,misdreavus,1.0,Has both stats and images
OVERLAPPING,mismagius,1.0,Has both stats and images
OVERLAPPING,moltres,1.0,Has both stats and images
OVERLAPPING,monferno,1.0,Has both stats and images
OVERLAPPING,morelull,1.0,Has both stats and images
OVERLAPPING,mothim,1.0,Has both stats and images
OVERLAPPING,mudbray,1.0,Has both stats and images
OVERLAPPING,mudkip,1.0,Has both stats and images
OVERLAPPING,mudsdale,1.0,Has both stats and images
OVERLAPPING,muk,1.0,Has both stats and images
OVERLAPPING,munchlax,1.0,Has both stats and images
OVERLAPPING,munna,1.0,Has both stats and images
OVERLAPPING,murkrow,1.0,Has both stats and images
OVERLAPPING,musharna,1.0,Has both stats and images
OVERLAPPING,natu,1.0,Has both stats and images
OVERLAPPING,necrozma,1.0,Has both stats and images
OVERLAPPING,nidoking,1.0,Has both stats and images
OVERLAPPING,nidoqueen,1.0,Has both stats and images
OVERLAPPING,nidorina,1.0,Has both stats and images
OVERLAPPING,nidorino,1.0,Has both stats and images
OVERLAPPING,nincada,1.0,Has both stats and images
OVERLAPPING,ninetales,1.0,Has both stats and images
OVERLAPPING,ninjask,1.0,Has both stats and images
OVERLAPPING,noctowl,1.0,Has both stats and images
OVERLAPPING,noibat,1.0,Has both stats and images
OVERLAPPING,noivern,1.0,Has both stats and images
OVERLAPPING,nosepass,1.0,Has both stats and images
